"outcome","model","high_definition","joint_variable","group","reference_group","hr","ci_low","ci_high","p_value","p_fdr","n_model","events","group_n","group_events","covariates_used","covariates_dropped","note"
"all_cause_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,897,4150,412,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",3.14987874394454,2.37875250075603,4.17098294101644,1.15631079122726e-15,3.46893237368179e-15,6484,897,506,193,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.39891320675397,1.13961206445472,1.71721432325047,0.00132986065040017,0.00132986065040017,6484,897,1545,200,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 1","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",3.11157995429425,2.27942065675262,4.24753973483735,8.73700475592655e-13,1.31055071338898e-12,6484,897,283,92,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,897,3727,368,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",3.06544252823902,2.38937991130151,3.93279354592793,1.22952943743935e-18,3.68858831231806e-18,6484,897,444,176,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.3967814833658,1.07727205688633,1.81105459832738,0.0116800190336522,0.0116800190336522,6484,897,1968,244,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 1","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",3.49319893644858,2.48110533554119,4.91814621282246,7.71945120957237e-13,1.15791768143586e-12,6484,897,345,109,"AGE + SEX + RACE","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,897,4150,412,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.86319836232985,2.20637116147833,3.71556019457556,2.5319448819065e-15,7.59583464571949e-15,6484,897,506,193,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.29978031480692,1.08650634230157,1.55491855038861,0.00413971799211151,0.00413971799211151,6484,897,1545,200,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest quartile (Q4)","JOINT_Q4","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.68107966622435,1.96385129206881,3.66025075608922,5.32643997135482e-10,7.98965995703224e-10,6484,897,283,92,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_non_high","UACR_lt30__TT4_non_high",1,1,1,,,6484,897,3727,368,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_non_high","UACR_lt30__TT4_non_high",2.76439610119142,2.2105891098372,3.4569453772642,4.89671334360447e-19,1.46901400308134e-18,6484,897,444,176,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_lt30__TT4_high","UACR_lt30__TT4_non_high",1.26798122741409,0.986083007344501,1.63046759867028,0.0642049477518411,0.0642049477518411,6484,897,1968,244,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
"all_cause_mortality","Model 2","TT4 highest tertile sensitivity","JOINT_T3","UACR_ge30__TT4_high","UACR_lt30__TT4_non_high",2.95753768662467,2.05318426252936,4.26022609243534,5.7660761900988e-09,8.6491142851482e-09,6484,897,345,109,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Reference group: UACR <30 mg/g with TT4 non-high group."
