variable,pre_exclusion_missing_n,pre_exclusion_missing_pct,final_missing_n,final_missing_pct
SEQN,0,0.0,0,0.0
CYCLE,0,0.0,0,0.0
AGE,0,0.0,0,0.0
SEX,0,0.0,0,0.0
RACE,0,0.0,0,0.0
EDUCATION,6050,0.19873858484987847,0,0.0
PIR,2730,0.08967873332895342,0,0.0
BMI,3567,0.11717364167925892,0,0.0
SMOKE,12745,0.4186650022994547,0,0.0
DRINK,14908,0.4897181525523947,0,0.0
DIABETES,1325,0.04352539254976677,0,0.0
HYPERTENSION,6669,0.21907233427501477,0,0.0
PHYSICAL_ACTIVITY,9062,0.29768083568753695,0,0.0
UIC_UG_L,17565,0.5769988831220025,0,0.0
EGFR,11230,0.3688982327048157,0,0.0
UACR,6531,0.2145391235792655,0,0.0
LOG_UACR,6531,0.2145391235792655,0,0.0
UACR_QUARTILE,30442,1.0,0,0.0
UACR_QUARTILE_UNWEIGHTED,30442,1.0,0,0.0
UACR_QUARTILE_WEIGHTED,30442,1.0,0,0.0
UACR_CLINICAL_CATEGORY,30442,1.0,0,0.0
TSH,19842,0.6517968596018658,0,0.0
FT3,19853,0.652158202483411,3,0.0004624633883150917
FT4,19842,0.6517968596018658,0,0.0
TT3,19847,0.6519611063662046,3,0.0004624633883150917
TT4,19888,0.6533079298337823,0,0.0
TG,19850,0.6520596544248078,5,0.0007707723138584862
TGAB,19908,0.6539649168911372,0,0.0
TPOAB,19933,0.654786150712831,0,0.0
ANALYTIC_WT2YR,15605,0.5126141515012155,0,0.0
ANALYTIC_WT6YR,15605,0.5126141515012155,0,0.0
WEIGHT_SOURCE,15605,0.5126141515012155,0,0.0
WTSA2YR,24950,0.8195913540503252,3917,0.603823030676738
WTSA6YR,15605,0.5126141515012155,0,0.0
STRICT_WTSA6YR,24950,0.8195913540503252,3917,0.603823030676738
WTMEC2YR,0,0.0,0,0.0
SDMVPSU,0,0.0,0,0.0
SDMVSTRA,0,0.0,0,0.0
NHANES_CYCLE,0,0.0,0,0.0
NHANES_SUFFIX,0,0.0,0,0.0
AGE_YEARS,0,0.0,0,0.0
RACE_ETHNICITY,0,0.0,0,0.0
SMOKING_STATUS,12745,0.4186650022994547,0,0.0
ALCOHOL_STATUS,14908,0.4897181525523947,0,0.0
DIABETES_STATUS,1325,0.04352539254976677,0,0.0
HYPERTENSION_STATUS,6669,0.21907233427501477,0,0.0
PHYSICAL_ACTIVITY_ANY,9062,0.29768083568753695,0,0.0
EGFR_CKD_EPI_2021,11230,0.3688982327048157,0,0.0
UACR_MG_G,6531,0.2145391235792655,0,0.0
WTMEC6YR,0,0.0,0,0.0
WTSA2YR_THYROD,25754,0.846002233755995,3917,0.603823030676738
WTSA2YR_UIO,24950,0.8195913540503252,3917,0.603823030676738
AGE_GROUP,11823,0.3883778989553906,0,0.0
MEAN_SBP,8219,0.269988831220025,94,0.01449051950053954
MEAN_DBP,8219,0.269988831220025,94,0.01449051950053954
URINE_ALBUMIN_UG_ML,6531,0.2145391235792655,0,0.0
URINE_CREATININE_MG_DL,6530,0.21450627422639773,0,0.0
SERUM_CREATININE_MG_DL,11230,0.3688982327048157,0,0.0
PREGNANT_FLAG,0,0.0,0,0.0
THYROID_MED_USE,0,0.0,0,0.0
RXQ_AVAILABLE,0,0.0,0,0.0
