"Characteristic","Statistic","Overall (n=6487)","UACR <30 mg/g (n=5698)","UACR 30-300 mg/g (n=658)","UACR >=300 mg/g (n=131)"
"Age, years","Mean (SE)","46.11 (0.48)","45.22 (0.47)","55.74 (1.35)","57.96 (2.46)"
"Age >=65 years","n (weighted %)","1448 (15.0%)","1108 (13.0%)","287 (36.9%)","53 (42.8%)"
"Male","n (weighted %)","3435 (52.1%)","3015 (52.4%)","345 (47.1%)","75 (61.6%)"
"Race/ethnicity: Mexican American","n (weighted %)","1031 (7.9%)","897 (7.7%)","110 (9.8%)","24 (14.4%)"
"Race/ethnicity: Other Hispanic","n (weighted %)","691 (5.6%)","609 (5.5%)","66 (5.7%)","16 (7.7%)"
"Race/ethnicity: Non-Hispanic White","n (weighted %)","3023 (69.5%)","2686 (70.2%)","294 (63.9%)","43 (52.2%)"
"Race/ethnicity: Non-Hispanic Black","n (weighted %)","1324 (10.7%)","1131 (10.2%)","153 (16.0%)","40 (17.8%)"
"Race/ethnicity: Other or multiracial","n (weighted %)","418 (6.3%)","375 (6.4%)","35 (4.6%)","8 (7.9%)"
"Education: Less than 9th grade","n (weighted %)","731 (5.8%)","582 (5.2%)","122 (12.9%)","27 (13.8%)"
"Education: 9th-11th grade","n (weighted %)","1092 (11.9%)","931 (11.5%)","128 (14.3%)","33 (22.4%)"
"Education: High school graduate or GED","n (weighted %)","1504 (22.8%)","1341 (22.9%)","138 (22.1%)","25 (25.7%)"
"Education: Some college or associate degree","n (weighted %)","1798 (30.6%)","1590 (30.7%)","177 (31.6%)","31 (21.0%)"
"Education: College graduate or above","n (weighted %)","1362 (28.8%)","1254 (29.7%)","93 (19.1%)","15 (17.0%)"
"Smoking: Never","n (weighted %)","3378 (53.6%)","3031 (54.3%)","294 (46.4%)","53 (38.5%)"
"Smoking: Former","n (weighted %)","1664 (24.9%)","1407 (24.2%)","210 (31.4%)","47 (36.8%)"
"Smoking: Current","n (weighted %)","1445 (21.6%)","1260 (21.5%)","154 (22.2%)","31 (24.6%)"
"Any alcohol use","n (weighted %)","4754 (79.3%)","4237 (80.3%)","436 (69.5%)","81 (62.0%)"
"Diabetes: Yes","n (weighted %)","741 (8.3%)","497 (6.6%)","176 (22.9%)","68 (47.8%)"
"Diabetes: Borderline","n (weighted %)","119 (1.6%)","93 (1.4%)","23 (3.8%)","3 (5.3%)"
"Hypertension","n (weighted %)","2685 (34.9%)","2133 (32.1%)","441 (62.3%)","111 (84.6%)"
"Any physical activity","n (weighted %)","4807 (79.3%)","4332 (80.5%)","399 (67.2%)","76 (62.5%)"
"Poverty-income ratio","Mean (SE)","2.98 (0.06)","3.03 (0.06)","2.51 (0.12)","2.33 (0.23)"
"Body mass index, kg/m2","Mean (SE)","28.66 (0.14)","28.51 (0.14)","30.29 (0.38)","30.32 (1.00)"
"Urinary iodine concentration, ug/L","Median (IQR)","139.30 (76.30-240.30)","139.10 (75.70-239.50)","154.90 (84.00-268.40)","129.70 (88.00-210.50)"
"eGFR, mL/min/1.73 m2","Mean (SE)","97.55 (0.52)","98.62 (0.52)","87.87 (1.45)","72.92 (3.59)"
"UACR, mg/g","Median (IQR)","6.26 (4.20-10.65)","5.88 (4.03-8.86)","55.97 (38.89-93.04)","681.12 (420.79-1256.00)"
"TT4, ug/dL","Mean (SE)","7.80 (0.04)","7.76 (0.04)","8.18 (0.10)","8.48 (0.16)"
"TSH, uIU/mL","Median (IQR)","1.59 (1.09-2.30)","1.58 (1.09-2.28)","1.64 (1.07-2.54)","1.70 (1.16-2.88)"
