"outcome","model","interaction_type","high_definition","interaction_term","interaction_beta_log_hr","interaction_hr","ci_low","ci_high","p_for_interaction","n_model","events","covariates_used","covariates_dropped","note"
"all_cause_mortality","Model 1","LOG_UACR:TT4 interaction","continuous TT4","LOG_UACR:TT4",-0.0178444004600144,0.982313868053401,0.937024885460677,1.0297917913841,0.462928544260141,6484,897,"AGE + SEX + RACE","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 1","UACR_ALBUMINURIA:TT4_HIGH_Q4 interaction","TT4 highest quartile (Q4)","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_Q4TT4_high",-0.347928991300395,0.706149017157578,0.468121821174439,1.06520655922767,0.104782223808284,6484,897,"AGE + SEX + RACE","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 1","UACR_ALBUMINURIA:TT4_HIGH_T3 interaction","TT4 highest tertile sensitivity","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_T3TT4_high",-0.203544672574378,0.815833758114367,0.545511992006869,1.22011015455483,0.327397556854433,6484,897,"AGE + SEX + RACE","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 2","LOG_UACR:TT4 interaction","continuous TT4","LOG_UACR:TT4",-0.0174221789178701,0.982728709701017,0.938154634077268,1.02942061126256,0.467304001941881,6484,897,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 2","UACR_ALBUMINURIA:TT4_HIGH_Q4 interaction","TT4 highest quartile (Q4)","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_Q4TT4_high",-0.327914996147068,0.720424255940107,0.485034777288183,1.07004926831976,0.114064114409654,6484,897,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 2","UACR_ALBUMINURIA:TT4_HIGH_T3 interaction","TT4 highest tertile sensitivity","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_T3TT4_high",-0.169891194378217,0.843756617065443,0.572628394469377,1.24325869222993,0.396708663021434,6484,897,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 3","LOG_UACR:TT4 interaction","continuous TT4","LOG_UACR:TT4",-0.0174654386593137,0.982686198030655,0.938387067520357,1.0290765902728,0.464418854312163,6484,897,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 3","UACR_ALBUMINURIA:TT4_HIGH_Q4 interaction","TT4 highest quartile (Q4)","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_Q4TT4_high",-0.34267745677584,0.709867137474219,0.480040924215365,1.04972582012564,0.0974567500622927,6484,897,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox interaction model."
"all_cause_mortality","Model 3","UACR_ALBUMINURIA:TT4_HIGH_T3 interaction","TT4 highest tertile sensitivity","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_T3TT4_high",-0.190875745309143,0.826235245378231,0.557372342790928,1.22479109258799,0.350345549648974,6484,897,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK + DIABETES + HYPERTENSION + EGFR + UIC_UG_L","","Survey-weighted Cox interaction model."
"cardiovascular_mortality","Model 1","LOG_UACR:TT4 interaction","continuous TT4","LOG_UACR:TT4",-0.0484977622613104,0.952659471106406,0.884812959063848,1.02570838118031,0.205451203035567,6484,249,"AGE + SEX + RACE","","Survey-weighted Cox interaction model."
"cardiovascular_mortality","Model 1","UACR_ALBUMINURIA:TT4_HIGH_Q4 interaction","TT4 highest quartile (Q4)","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_Q4TT4_high",-0.283136819036048,0.753416699061115,0.327842014797967,1.73143372966993,0.508549508208818,6484,249,"AGE + SEX + RACE","","Survey-weighted Cox interaction model."
"cardiovascular_mortality","Model 1","UACR_ALBUMINURIA:TT4_HIGH_T3 interaction","TT4 highest tertile sensitivity","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_T3TT4_high",-0.631703613083516,0.531685243077761,0.198414998446734,1.42473704064538,0.216185681940097,6484,249,"AGE + SEX + RACE","","Survey-weighted Cox interaction model."
"cardiovascular_mortality","Model 2","LOG_UACR:TT4 interaction","continuous TT4","LOG_UACR:TT4",-0.0531440380032958,0.948243419556457,0.881438842750877,1.02011114001503,0.163610440067334,6484,249,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Survey-weighted Cox interaction model."
"cardiovascular_mortality","Model 2","UACR_ALBUMINURIA:TT4_HIGH_Q4 interaction","TT4 highest quartile (Q4)","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_Q4TT4_high",-0.256947025870341,0.773409183358634,0.365418417111113,1.63692287223056,0.506596315211842,6484,249,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Survey-weighted Cox interaction model."
"cardiovascular_mortality","Model 2","UACR_ALBUMINURIA:TT4_HIGH_T3 interaction","TT4 highest tertile sensitivity","UACR_ALBUMINURIAUACR_ge30:TT4_HIGH_T3TT4_high",-0.620761374534153,0.53753501628036,0.2133335546933,1.35442309646473,0.197334450477081,6484,249,"AGE + SEX + RACE + EDUCATION + PIR + BMI + SMOKE + DRINK","","Survey-weighted Cox interaction model."
