"outcome","exposure","contrast","model","beta_log_hr","hr","ci_low","ci_high","p_value","p_fdr","n_model","events","weighted_population_estimate","note"
"all_cause_mortality","LOG_UACR","LOG_UACR","H1",0.381846869354576,1.46498773343868,1.35918576249224,1.57902555953094,1.78888084925357e-23,1.78888084925357e-23,6484,897,154160360.218869,"Survey-weighted Cox proportional hazards model."
"all_cause_mortality","LOG_UACR","LOG_UACR","Full",0.327223285307416,1.38711116414745,1.28464360731405,1.4977518828941,6.41550291523953e-17,6.41550291523953e-17,6484,897,154160360.218869,"Survey-weighted Cox proportional hazards model."
"all_cause_mortality","TT4","TT4","H1",0.0926307372530358,1.097056558346,1.03832627213133,1.15910877391124,0.000967598680471587,0.000967598680471587,6484,897,154160360.218869,"Survey-weighted Cox proportional hazards model."
"all_cause_mortality","TT4","TT4","Full",0.063334962616033,1.06538364316217,1.00916308907265,1.12473624868755,0.0220348114552901,0.0220348114552901,6484,897,154160360.218869,"Survey-weighted Cox proportional hazards model."
"all_cause_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_lt30__T2","H1",0.0520069869529907,1.05338310242587,0.732847275807341,1.51411623827617,0.778752920177536,0.778752920177536,6484,897,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"all_cause_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_lt30__T3","H1",0.362707201344554,1.43721498301361,1.09727639906069,1.8824672700215,0.00843371650849043,0.00963853315256049,6484,897,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"all_cause_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T1","H1",1.05337828443955,2.86732140165619,1.70130241418619,4.83249300761636,7.64280577720339e-05,0.000101904077029378,6484,897,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"all_cause_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T2","H1",0.981869007152571,2.66944078632686,1.76720982101455,4.03229657676666,3.07511542113829e-06,6.15023084227657e-06,6484,897,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"all_cause_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_30_299__T3","H1",1.12124047165509,3.06865842708725,2.06043907255635,4.57022227328009,3.44381082927489e-08,9.18349554473305e-08,6484,897,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
"all_cause_mortality","JOINT_CATEGORY","JOINT_CATEGORYUACR_ge300__T1","H1",1.59456971835608,4.92620895873983,2.44937489650673,9.90764408493717,7.71780123011615e-06,1.23484819681858e-05,6484,897,154160360.218869,"Joint category reference: UACR <30 mg/g and TT4 tertile T1."
